section,subsection,page,markers,marker_roles,name,qualifier,address,cross_reference,canvas_fragment,image
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Dulau A. B. & Co.,,37 Soho square,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=577,5734,979,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Harnet John,,45 Museum st. Bloomsby,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=577,5796,1095,66",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Hodson J. S.,,112 Fleet st. & 15 Cross st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=577,5862,1101,53",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Jeffs William,,15 Burlington arcade,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=576,5924,1027,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Madden & Co.,oriental,8 Leadenhall st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,485,1109,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Miller John,american,26 Henrietta st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,551,1109,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Molini C. F.,italian,14 Paternoster rw,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,615,1109,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Nutt David,,158 Fleet street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,680,778,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Rolandi Peter,,20 Berners street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,743,892,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Schloss Albert,,12 Berners street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,810,908,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Senior Charles & Henry,,49 Pall mall,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,875,1048,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Foreign,p. 646 (scan 674),,,Wiley & Putnam,amer.,35 Paternostr. r,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,938,1110,64",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Burgess Thomas,,28 Coventry street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1457,1015,62",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Butler Joseph,,4 St. Thomas' st. Borough,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1519,1111,66",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),†,Medical Librarians,Churchill John,,16 Princes st. Leices. sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1582,1101,68",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Cox Mrs. Elizh.,,13½ St. Thomas st. Boro',,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1643,1106,71",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Highly Samuel,,32 Fleet street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1714,866,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Hill T.,,55 Gt. Windmill st. Haymarket,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1778,1047,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Jones Thomas,,91 Aldersgate street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1843,975,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),†,Medical Librarians,Jackson Mrs. Harriet,,32 King st. Boro',,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1907,1107,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Moore Miss Jane,,9 Gower street north,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,1972,1077,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),*,Publishers,Renshaw Henry,,356 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2034,820,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Turner Caleb,,Church street Hackney,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2099,1063,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Medical,p. 646 (scan 674),,,Whiting Wm.,,"15 King street, Borough",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2163,1081,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Theological,p. 646 (scan 674),,,Darling Jas.,,21 & 22 Lit. Queen st. Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2356,1111,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Theological,p. 646 (scan 674),,,Leslie John,,52 Gt. Queen st. Lin. inn fi,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2419,1110,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Theological,p. 646 (scan 674),,,Stewart Chas. J.,,11 King Wm. st. Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2484,1111,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers—Theological,p. 646 (scan 674),,,Straker William,,443 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,2548,811,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Aaron Mrs. R.,,10 Goodman's stile,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3560,962,51",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖†‡¶,General Stationers; Publishers; Fancy Stationers; Printsellers,Ackermann & Co.,,96 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3624,910,54",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),¶,Printsellers,Adamson Ch.,,25 Bedford st. Cov. gardn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3686,1111,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Aitken William,,172 Fleet street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3747,932,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Akerman S. C.,,4 Greville st. Hatton gar,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3810,1111,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Allen James,,19 Warwick la. Ptnstr. row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3873,1111,64",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),§‖‡ab,Librarians; General Stationers; Fancy Stationers; Newsvenders; Account-book makers,Allason William,,31 New Bond street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3937,1111,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†‖,Publishers; General Stationers,Allen Wm. H. & Co.,,7 Leadenhall street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,3995,1111,70",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Allen Mrs. Rebecca,,65 Sun st. Bishopsgt,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4063,1111,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Allman Thomas,,42 Holborn hill,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4127,935,62",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖,General Stationers,Allum Manoah,,29 Brick la. Spitalfields,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4193,1111,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖,General Stationers,Anyon S. F. & S.,,19 New st. Dorset sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4320,1111,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Appleton Daniel & Co.,,16 Little Britain,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4387,1109,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Archer William,,88 Berwick st. Soho,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4451,1048,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),§a‖,Librarians; Newsvenders; General Stationers,Arnold Henry,,45 Marchmont street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4513,1072,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†*,Publishers; Printers,Ascham John James,,71 Chancery lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4577,1109,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖†¶,General Stationers; Publishers; Printsellers,Ashley James,,37 Haymarket,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4645,926,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Barker James,,19 Throgmorton street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5413,1053,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Barnett H.,Hebrew,2 St. James's pl. Aldg,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5478,1110,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Barritt & Co.,bible,173 Fleet street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5540,1055,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Barrow John Henry,,11 Parliament st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5605,1067,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Baseley Henry E.,,9 Old Broad street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5667,1031,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bateman Thomas,,14 Goodge street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5799,977,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Baynes Hen.,,40 St. John sq. Clerkenwell,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5923,1111,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖,General Stationers,Andrews John,,167 New Bond street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1740,4252,1058,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖§,General Stationers; Librarians,Atkinson Thomas,,46 Judd street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4691,991,73",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖,General Stationers,Attwood Mrs. M.,,39 Gt. Castle st. Rgt. st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4770,1090,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Bagster Samuel,,15 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4838,1044,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†*‖b,Publishers; Printers; General Stationers; Account-book makers,Baily Alfred H. & Co.,,83 Cornhill,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4900,1057,62",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),d,Foreign Booksellers,Bain James,,1 Haymarket,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,4965,772,58",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Baldock Robert,,85 High Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5028,952,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Baldwin & Cradock,,47 Paternoster rw,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5092,1074,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Ball Wm. & Co.,,34 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5157,1021,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),§,Librarians,Ballard William,,"7 Hayes court, Soho",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5220,1072,64",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Balmain George,,11 Wilderness row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1735,5285,1027,66",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Bancks Thos. & Co.,,49 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=1714,5356,1121,46",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Baynes Richard,,28 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2841,494,1055,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Bell George,,186 Fleet street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2848,556,832,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),a,Newsvenders,Bell James,,"11 Finch lane, Cornhil",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2851,617,1014,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bellchamber J.,,"33 A, King st. Westmnstr",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2851,681,1111,64",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),§,Librarians,Bennet Edm.,,22 Gt. Knightrider street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2855,749,1107,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bennett Thomas,,4 Copthall buildings,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2855,815,1064,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Bennett Wm.,,4 Three tuns pas. Nwg. st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2855,874,1105,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Betts John,,7 Compton st. Brunswick sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2854,1069,1106,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bickers H.,,9 Leicester st. & 1 Leicester sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2857,1133,1104,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bigg James,,34 Holywell st. Millbank,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2858,1195,1061,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖,General Stationers,Bigg James & Son,,53 Parliament street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2858,1258,1112,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),§‖,Librarians; General Stationers,Billinghurst John,,"24 Brixton place & 3 Chapterhouse court, St. Paul's",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2857,1322,1108,61",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),*‖ab,Printers; General Stationers; Newsvenders; Account-book makers,Bingham C. E.,,62 Mount st. Berkl. sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2860,1450,1112,63",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖b,General Stationers; Account-book makers,Birkett Richard,,27 Norton folgate,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2861,1518,1029,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Blake Benjamin,,"13 Bell yard, Temple bar",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2860,1644,1106,57",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bohn Hen. G.,,4 & 5 York st. Covent garden,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2860,1709,1108,56",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bohn Jas.,,"12 King William street, Strand",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2857,1770,1117,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),,,Bohn John,,17 Henrietta st. Covent grdn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2855,1835,1118,60",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),†,Publishers,Boone Thos. & Wm.,,29 New Bond street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2855,1901,1121,55",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),‖,General Stationers,Booth Lionel,,Duke st. Portland place,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2855,1964,1094,59",0001_p16445coll4:27074.jpg
BOOKSELLERS,Booksellers in General,p. 646 (scan 674),§,Librarians,Boswood Miss M.,,4 York pl. Islington,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27074/canvas/c673#xywh=2853,2026,1092,62",0001_p16445coll4:27074.jpg
