section,subsection,markers,marker_roles,name,qualifier,address,cross_reference,canvas_fragment,image
BOOKSELLERS,Booksellers in General,,,Crick Mrs. Susanna,,"Broadway, Stratfrd",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=556,1693,3304,71",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Crofts William,,19 Chancery lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=557,1766,1035,52",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Crouch Geo.,,"5 Tudor st. & 1 Crown ct. Bridge street, Blackfriars",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=561,1830,3143,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Crozier Robt.,,29 Bow st. Covent garden,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,1956,3397,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Cummins Mrs. H.,,"80 New cut,Lambeth",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,2084,3397,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†‖,Publishers; General Stationers,Dalton Wm. Henry,,28 Cockspur st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=552,2207,3403,66",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Daly Charles,,19 Red Lion sq. Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=560,2272,3224,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖a,General Stationers; Newsvenders,Daniel Richd.,,2 King st. Covent garden,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=555,2332,3401,73",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Daniell Edward,,53 Mortimer street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=550,2399,1030,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Davis Charles,,48 Coleman street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,2533,959,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖a,General Stationers; Newsvenders,Davis Charles,,41 Gt. Marylebone st.,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=556,2594,2072,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Dawson Jas.,,38 White Lion st. Pntnvl,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=556,2656,2186,60",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†*,Publishers; Printers,Dean &Munday,,35&40Threadneedle st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=549,2721,3333,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Dinnis James,,62 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,2849,1012,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Dodson Daniel,,"137 Fleet street & 4 New street, Covent garden",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,2914,3397,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Dolman Charles,,61 New Bond street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3039,3394,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Douglas Mrs. M. E.,,16 Lit.Knightrider st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3103,3246,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Dowding John,,82 Newgate street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3167,982,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Dowie John E.,,14 Crown st. Walworth,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=557,3294,3393,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Doyle Martin,,82 Chancery lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=551,3358,918,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,¶‖,Printsellers; General Stationers,Drewett Mrs. Ann,,62 Quadrant,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=555,3420,1005,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Drysdale James,,165 Goswell street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=551,3483,1027,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Duncan & Malcolm,,37 Paternoster row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=549,3544,3406,72",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Dyer Thomas,,"24 Princes st. Leicester sq High street, Bloomsbury",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3605,2067,66",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,§‖,Librarians; General Stationers,Earle Geo.,,"67 Castle st. east, Oxford st",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=545,3800,3356,59",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,East Philip,,"18 Holywell street, Strand",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3865,3397,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖¶§,General Stationers; Printsellers; Librarians,Ebers E. S. & Co.,,27 Old Bond street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3928,3394,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,*,Printers,Edwards Frederic,,56 Leman street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,3993,1058,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Edwards James,,76 Bunhill row,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,4058,933,53",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†‡,Publishers; Fancy Stationers,Edwards William,,12 Ave Maria lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=549,4119,2185,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Eedes John,,14 Little Knightrider street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,4178,3402,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖e,General Stationers; Juvenile Booksellers,Egley Thomas,,69 New Bond street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,4248,1096,53",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,"Elder, Smith & Co.",,65 Cornhill,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,4311,918,53",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,c‖,Bookbinders; General Stationers,Elkins V.,,"8Baker street, & 62George st",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=561,4371,2059,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Elkins Wm. Henry,,47 Lombard street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=576,4435,2237,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Elt Chas. H.,,"18 Hedge row, Islington",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=571,4497,2087,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Elvin & Taylor,,48 Goodge st. Fitzroy sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=552,4559,2152,60",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Elvin Mrs. Sophia,,13 Tabernacle square,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,4622,2226,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Emans William,,43 Aldersgate street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=552,4682,2232,63",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Emmens Jas.,,51 Grosvenor pl. Pimlico,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=564,4749,2169,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Emmins John,,7 High Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=551,4805,899,64",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Ensoll Frederic,,45 Paddington street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=557,4874,2180,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,¶,Printsellers,Evans Ann & Son,,1 Gt. Queen street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=586,4931,3381,70",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Evans Geo. F.,,47 William st. Regent's pk,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,5001,2147,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Evans John,,9 Portugal st. Linc. inn fields,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=556,5064,2250,59",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Evans John Edward,,62 Snowhill,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=557,5127,978,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Evans Robert Harding,,93 Pall mall,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=561,5192,1039,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Evans Samuel,,42 Edgware road,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=557,5255,982,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,a,Newsvenders,Everett Wm.,,"5 Johnson's court, Fleet st",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=549,5318,2272,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,c,Bookbinders,Ewins Samuel Daniel,,102 Cheapside,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,5381,1103,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Fairburn John,,110 Minories,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=561,5448,860,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,a,Newsvenders,Farmer J.,,11 Hereford pl.Commer. rd. ea,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=553,5506,2162,61",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Faulkner Thos.,,"1 Paradise row, Chelsea",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=572,5571,2082,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Feldwick Thos. John,,40 Coleman street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=579,5629,3399,70",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Fellowes Benjamin,,39 Ludgate street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=568,5762,2146,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Fellowes Joseph,,13 Shoe lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=563,5824,886,59",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,§¶,Librarians; Printsellers,FergusonJohn,,5 Earl's ct. Leicester sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=560,5885,3421,63",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Frego Thos.,,6 Charlotte st. Fitzroy sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1831,320,845,77",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Fry Edmund,,4 Bishopsgate without,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1653,1121,1111,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Gardner&Son,Oxford,7Paternoster rw,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1675,1308,2276,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Garmeson Josph.,old,9Templest.Whtfrs,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1682,1373,2156,63",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Geeves Thomas,,141 Regent street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1679,1446,1039,52",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Gilling William,,193 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1654,1764,891,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,§‖,Librarians; General Stationers,Girity Mrs. E.,,"40 Silver st. Golden sq agents to the honourable Board of Ordnance), 51 Paternoster row",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1668,1893,2229,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Green John,,48 Gt. Queen st. Linc. inn fi,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1678,2526,2095,64",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Grimshaw Miss A.,,21 Radcliffe terrace,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1667,2846,2284,61",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Hadland John T.,,90 Queen st. Cheapside,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1674,2974,2277,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,HalstedChas.,,120 High st.Camden town,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1672,3167,2066,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,a,Newsvenders,Hare A.,,96Sloane st.&16NorthAudley st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1672,3357,2271,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖a,General Stationers; Newsvenders,Harris C.,,25 Bow st. & 6 Opera arcade,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1675,3420,2275,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Hayward Jas.&Co.,who.,53Paternost.rw,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1672,3483,2278,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Healy I.,,19 Arlington st. Sadler's well,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1667,3989,2277,64",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Hearl George,,28 Russell. ct.Drury lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1674,4052,2274,61",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Heaton Geo.,,20 Houghton st. Clare mk,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1672,4246,2282,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†§,Publishers; Librarians,Hebert Mrs. Elizabeth,,88 Cheapside,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1668,4309,2233,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†§‖a,Publishers; Librarians; General Stationers; Newsvenders,Hodgson S.,,6 & 9 Gt.Marylebone st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1675,4807,2059,62",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Holder William Thomas,,311 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1679,5128,1062,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Holdsworth Samuel,,13 Berner's street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1675,5192,2184,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Holmes Wm.,,31 Holywell st. Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1675,5257,1066,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Hooper Henry,,13 Pall mall east,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1668,5382,1005,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Hopkins Fred. S.,,5 Bishopsgate within,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1675,5445,1130,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Hutton John,,56 Mortimer st. Cav. sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=1672,5825,1103,58",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,§,Librarians,Hyde Wm.,,"17A, Gt. Titchfield street",,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2806,917,1091,70",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖§,General Stationers; Librarians,Ilbery Jas.,,1 Great Titchfield street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2806,981,1091,72",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Ingham William,,28 Wilson st. Finsbury,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2817,1117,1133,60",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,*‖b,Printers; General Stationers; Account-book makers,Jeffery William,,7 Mark lane,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2784,1442,945,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Johnston Thomas,,53 Moorgate st Manchester square,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2782,1765,1021,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Kelly John Henry,,2 Vigo st. Regent st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2802,2594,1148,57",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,a,Newsvenders,Kennedy Thomas,,20 Throgmorton st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2802,2784,1088,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Kimpton Richard,,31 Wardour st. Soho,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2811,3606,1145,63",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,King Thomas,,11 Lit. Queen st. Holborn,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2809,3674,1145,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Lawford G.,,6 Saville pl. NewBurlngtn.st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2760,4119,1194,56",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†‖,Publishers; General Stationers,Lee John,,440 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2805,4374,679,53",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Leigh James,,25 South Audley street,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2813,4435,1100,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†‖,Publishers; General Stationers,Leigh Mary Anne & Co.,,421 Strand,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2817,4499,1073,54",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,‖,General Stationers,Lester Thomas,,14 Finsbury place,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2815,4557,1008,59",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,,,Lewes Francis,,36 Kenton st. Bruns. sq,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2817,4685,1122,55",0002_p16445coll4:27075.jpg
BOOKSELLERS,Booksellers in General,†,Publishers,Lewis Samuel & Co.,,87 Aldersgate st,,"https://cdm16445.contentdm.oclc.org/iiif/p16445coll4:27075/canvas/c674#xywh=2817,4749,1092,56",0002_p16445coll4:27075.jpg
